n,r,network_nr,network,gene_tree
40,15,0,"((((p,((f)#F,((k)#L,e1))),(((a,(#F,w)))#D,((((x)#H,d),b1),((((f1)#I,(#I,((t)#G,h))),(g1,l1)),a1)))),((q)#M,(((#G,(i,(((#M,m))#N,u))),((((n1)#B,(#D,j1)))#C,d1)),(#L,(n,(((o,e))#O,(m1,j))))))),(#N,(((#C,((#O,r),c1)))#J,(k1,(#J,((((((l,(s,g)),(#H,(((h1,b))#A,c))))#E,((#B,(#E,i1)),y)))#K,(#K,(z,(#A,v)))))))))","(((((n,(j1,q)),(b1,(f1,c1))),((y,e),((p,k1),(o,(i,(h,h1)))))),(((t,u),(x,((s,(k,i1)),a1))),f)),((j,((z,a),d1)),(((((v,d),n1),r),((l,((m1,(g1,g)),l1)),(b,(m,e1)))),(w,c))))"
40,15,1,"((((p)#N,(#N,q)),(((((n1)#F,l1),m1))#B,(x,(((h1,(#F,v)))#C,a)))),(((((((w)#E,u),(g,(t,c1))),(c,((((z)#O,((f1)#G,(((s,k),(#E,h)),((d1,((#C,e),((j)#M,e1))),((#G,y),(#M,((n)#L,((i1)#K,(#L,i))))))))))#D,((j1)#H,a1)))),(((r)#J,b),(#H,(#O,o)))))#A,(((#A,((((#B,l))#I,(#K,m)),d)),(#I,((#D,(#J,b1)),k1))),(f,g1))))","(((g,l1),((c1,l),k1)),((((j1,(a,((j,m1),s))),(n1,d)),((f1,(f,e1)),x)),((((i1,n),(((t,q),p),h1)),(r,((v,(k,(m,z))),(c,(g1,b))))),(((e,(i,(o,a1))),(d1,(b1,y))),((h,w),u)))))"
40,15,2,"(((f1)#N,((((f)#O,(i1,j1)),(k,w)),(p,(((d1)#L,((c)#I,n1)),l1)))),((b)#E,(((((m1)#D,(c1,(r,g1))),(((((#O,n))#J,(((((#N,l))#M,(o,(((k1,(#D,m)))#C,u))))#G,(e,q))))#A,(#G,(h1,(g,(x,(((#C,(((#A,d),(((#J,(#I,(#M,s))))#B,(y,b1))),(((j,(#E,e1)))#H,(a1,z)))))#K,(v,t)))))))),(#K,(((#H,(#B,h)))#F,(#F,(#L,i))))),a)))","(((((l,k),(e1,b1)),i),(h,w)),(((x,((c1,k1),(((z,a1),(f,(i1,(g1,c)))),b))),((((d,((m1,y),n)),(m,u)),l1),((h1,(d1,j)),g))),(((j1,o),(a,v)),(((((s,q),f1),p),e),((r,n1),t)))))"
40,15,3,"(((j,((m1)#B,((a)#F,l1))),((((m,(((w,(((((((f)#N,h))#I,c1),(n,b)))#H,((t)#G,n1))))#E,((r,(((((i1,j1))#A,(e,d1)))#C,(#F,l))),(#G,((x)#K,o))))))#J,(q,s)),((#H,((((a1)#L,(#I,g1)))#O,(#C,((u)#M,((d,(#J,(#L,c))),f1))))),(#N,y)))),(((g,((#K,h1),(z,k))),(#M,((#E,((k1)#D,p)),b1))),(#D,((i,(#B,(#A,(#O,e1)))),v))))","(((j1,(m1,((c,(i1,f1)),n))),((((((p,d1),(s,r)),q),(((h,l1),y),((j,e),(z,g)))),((m,b),h1)),(k,t))),((o,(e1,(v,k1))),(((n1,d),g1),((((b1,(a1,c1)),f),i),(((l,(x,w)),u),a)))))"
40,15,4,"(((((i,(((a,r))#A,(((b1)#M,((h1)#E,y)),(s,c)))),((f1)#L,g1)),(((d1)#F,((((((#M,l))#C,t),j))#N,(d,p))),(n,((l1)#O,c1)))),((((z,((((((((w)#D,m),o))#K,h))#I,e),(((m1,v))#B,(#F,k)))))#J,(((#E,(((#B,n1))#H,i1)))#G,(#N,x))),(e1,(#D,q)))),(#C,(#J,((#I,(u,g)),((j1,(#H,k1)),(#A,(#K,((f,(#G,(#L,b))),(#O,a1)))))))))","(((h1,(((((h,(v,i)),((f,i1),e1)),(f1,c)),(m,b1)),(((l,d1),(x,c1)),t))),((a1,(a,e)),(g1,g))),((n,((d,b),l1)),(((((k1,(s,w)),(y,(j1,r))),q),(u,(m1,k))),(p,((j,(n1,z)),o)))))"
40,15,5,"((((((g1,(u,a1)))#F,((((q,f),o))#H,i1)))#L,((((((v)#B,d))#G,h1),((e1)#C,(c,((((l1)#D,((h,g),b1)))#M,(((c1,((l)#A,(((#L,(#H,((((b,((#B,(j,(#A,w))),(n1,z))),(#G,(j1,e))))#I,s))))#O,r))))#N,(#D,((k1)#E,a))))))),(#I,n))),((((k,((m)#K,(p,(#N,(#K,d1))))),(f1,(#F,i))),(#C,((#O,((t)#J,m1)),(#J,(#E,y))))),(#M,x)))","(((((k1,(i,f)),(i1,n)),(((((u,v),e),z),(f1,(m1,m))),(((h,(y,k)),l),a1))),(j1,((((g,d),p),((n1,t),q)),s))),(((((h1,o),w),l1),e1),(((a,(c,b)),c1),(((b1,r),x),((g1,d1),j)))))"
40,15,6,"(((((((((((a)#N,((g)#I,k1)))#O,v))#K,(((e,(#N,x)))#E,(#E,((n)#M,(t,((j)#C,(i1,w))))))),b1),(r,p)),((l)#A,y)))#L,(((q,k),o),(((h,(z,(#O,i))))#D,((((((c,f))#J,(((u,b))#B,f1)))#H,h1),(((#K,(#I,((d,a1),((c1)#F,l1)))),(#J,(#M,(s,(#F,m1))))),(#H,(#D,(((#C,d1))#G,(((#A,(j1,(#B,n1))),(#G,(g1,(#L,m)))),e1)))))))))","((d,(l1,g1)),(((o,e),(((f,i1),(z,r)),((s,((u,((b1,m),p)),v)),((((j,b),c1),t),i)))),((((((y,h),k1),(h1,d1)),((w,(k,m1)),(((j1,e1),n),(g,x)))),(a1,c)),(q,(f1,(l,(n1,a)))))))"
40,15,7,"((k1)#I,(((n1)#D,(((y,(l,((((c)#F,p))#L,a1))),((#I,(#L,((d)#E,g1))),((t)#A,c1))),((((e1)#O,z))#H,((f)#J,(w,((((((f1)#M,(r,d1)))#C,(a,(((((u)#K,h),((((#F,e),s),(m,x)),(m1,(#D,q)))))#N,g))))#G,(#A,(#H,(j1,(b,(#K,(h1,i1)))))))))))),(#C,((#G,(b1,(o,(n,i)))),(#N,(#J,((#E,((l1)#B,j)),(#B,(v,(#M,(#O,k)))))))))))","(((w,q),((z,f1),(t,b1))),((a,(x,b)),((((i,((d1,d),h1)),i1),(h,c)),(((r,o),u),(((m1,s),((k,(a1,g1)),l1)),(((g,(j,l)),(k1,j1)),(v,((((e,c1),f),(((e1,p),n),(n1,m))),y))))))))"
40,15,8,"(((((((m1,((k)#M,g)))#O,(b,(u,(n1,(n,i1))))))#G,((j,z),((k1)#N,(((x,(#G,(d,((j1)#K,(y,l1))))))#A,((m)#E,e))))),(((((h1,f),c1),((((a1)#H,d1))#B,w)),(#O,((g1)#L,o))),(((e1)#C,a),(v,(((#E,(b1,q)))#D,h))))),((#M,((((t)#J,f1))#I,(#D,(s,(((#I,(#A,(l,(#N,(#J,c))))))#F,(#H,(#C,(#K,i)))))))),(#B,((#F,(#L,r)),p))))","((c1,a1),(((((r,(b1,s)),((n,j),((t,k),o))),((f1,b),(q,n1))),((h1,c),(((f,p),((e1,w),(l1,(e,z)))),((u,v),((((d1,g),l),k1),(h,(j1,i1))))))),(g1,(((i,((x,y),m)),a),(m1,d)))))"
40,15,9,"(((((f1,m))#M,(((((z)#L,(e,s)))#G,(a1,l)),o)))#J,(((t,((((l1)#N,((q)#I,(a,c1))),((c,w),((g)#H,e1))),(((#H,(r,p)))#A,v))),(((#I,i))#D,j1)),((#J,(((b1,(#D,(((d)#E,((g1,j),x)),((#A,(#G,m1)),((h1)#K,(#N,u)))))))#F,(((((h,((i1)#C,d1)))#O,(#M,(b,(#O,(#C,k1))))),n1),(((#E,(k,(#K,f))))#B,(#L,(#F,y)))))),(#B,n))))","((((s,(k1,(l1,e))),(((z,h),i1),(y,c1))),(t,((((((d1,n1),f1),(b,p)),(l,(m1,j))),((d,b1),(c,(v,w)))),((u,(h1,(e1,m))),((r,q),(x,a1)))))),((f,(((g1,(j1,i)),k),(n,o))),(a,g)))"
